"Term","Label","Description","ParentTerm","ParentType","Value","RelatedTerms","Relation","Comment","Source","Created","Modified","Status","Contributors","Resolution","","","","","","","","","","","","",""
"LegalBasis","Legal Basis","The Legal basis used to justify processing of personal data","dpv:Concept","sc","","","","Legal basis (plural: legal bases) are defined by legislations and regulations, whose applicability is usually restricted to specific jurisdictions.","","2019-04-05","2020-11-04","accepted","Axel Polleres, Javier Fernández","https://www.w3.org/2019/04/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"Consent","Consent","Consent of the Data Subject for specified processing","dpv:LegalBasis","sc","","","","","","2021-04-07","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/04/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"Contract","Contract","Creation, completion, fulfilment, or performance of a contract involving specified processing","dpv:LegalBasis,dpv:LegalAgreement","sc","","","","","","2021-04-07","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/04/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"ContractPerformance","Contract Performance","Fulfilment or performance of a contract involving specified processing","dpv:Contract","sc","","","","","","2021-04-07","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/04/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"DataTransferLegalBasis","Data Transfer Legal Basis","Specific or special categories and instances of legal basis intended for justifying data transfers","dpv:LegalBasis","sc","","","","","","2021-09-08","","accepted","David Hickey, Georg P Krogg","https://www.w3.org/2021/09/08-dpvcg-minutes.html","","","","","","","","","","","","",""
"EnterIntoContract","Enter Into Contract","Processing necessary to enter into contract","dpv:Contract","sc","","","","","","2021-04-07","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/04/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegalObligation","Legal Obligation","Legal Obligation to conduct the specified processing","dpv:LegalBasis","sc","","","","","","2021-04-07","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/04/07-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegitimateInterest","Legitimate Interest","Legitimate Interests of a Party as justification for specified processing","dpv:LegalBasis","sc","","","","","","2021-05-19","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/05/19-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegitimateInterestOfController","Legitimate Interest of Controller","Legitimate Interests of a Data Controller in conducting specified processing","dpv:LegitimateInterest","sc","","","","","","2021-05-19","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/05/19-dpvcg-minutes.html","","","","","","","","","","","","",""
"LegitimateInterestOfThirdParty","Legitimate Interest of Third Party","Legitimate Interests of a Third Party in conducting specified processing","dpv:LegitimateInterest","sc","","","","","","2021-05-19","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/05/19-dpvcg-minutes.html","","","","","","","","","","","","",""
"OfficialAuthorityOfController","Official Authority of Controller","Processing necessary or authorised through the official authority granted to or vested in the Data Controller","dpv:LegalBasis","sc","","","","","","2021-05-05","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/05/05-dpvcg-minutes.html","","","","","","","","","","","","",""
"PublicInterest","Public Interest","Processing is necessary or beneficial for interest of the public or society at large","dpv:LegalBasis","sc","","","","","","2021-04-21","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/04/21-dpvcg-minutes.html","","","","","","","","","","","","",""
"VitalInterest","Vital Interest","Processing is necessary or required to protect vital interests of a data subject or other natural person","dpv:LegalBasis","sc","","","","","","2021-04-21","","accepted","Harshvardhan J. Pandit","https://www.w3.org/2021/04/21-dpvcg-minutes.html","","","","","","","","","","","","",""
"VitalInterestOfDataSubject","Vital Interest of Data Subject","Processing is necessary or required to protect vital interests of a data subject","dpv:VitalInterestOfNaturalPerson","sc","","","","","","2021-04-21","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/04/21-dpvcg-minutes.html","","","","","","","","","","","","",""
"VitalInterestOfNaturalPerson","Vital Interest of Natural Person","Processing is necessary or required to protect vital interests of a natural person","dpv:VitalInterest","sc","","","","","","2021-04-21","","accepted","Georg P Krog, Harshvardhan J. Pandit, Paul Ryan","https://www.w3.org/2021/04/21-dpvcg-minutes.html","","","","","","","","","","","","",""
"EULA","End User License Agreement (EULA)","End User License Agreement is a contract entered into between a software (or service) developer or provider with the user","dpv:Contract","sc","","","","","","","","proposed","","https://www.w3.org/2021/06/30-dpvcg-minutes.html","","","","","","","","","","","","",""
"TermsOfService","Terms of Service","Contract between a service provider and user. Also known as 'Terms of Use' or 'Terms and Conditions' ","dpv:Contract","sc","","","","","","","","proposed","","https://www.w3.org/2021/06/30-dpvcg-minutes.html","","","","","","","","","","","","",""